Sample,Date,Uncertainty
RBCF,66.33,0.12
RBCF,66.46,0.16
RBCF,66.6,0.23
RBCF,66.478,0.09
RBCF,66.4,0.13
RBCF,67,0.11
RBCF,66.833,0.075
RBCF,67.073,0.081
RBCF,66.94,0.19
RBBZ,66.38,0.19
RBBZ,66.27,0.18
RBBZ,66.44,0.17
RBBZ,66.41,0.21
RBBZ,66.39,0.2
RBBZ,66.294,0.053
RBBZ,66.468,0.076
RBBZ,66.69,0.3
RBBZ,66.7,0.11
RBBZ,66.568,0.071
RBBZ,66.64,0.14
RBBZ,66.67,0.14
RBBZ,66.6,0.095
RBCI,66.39,0.28
RBCI,66.38,0.58
RBCI,66.33,0.29
RBCJ2,66.47,0.16
RBCJ2,66.454,0.078
RBCJ2,66.378,0.057
RBCJ2,66.371,0.037
RBCJ2,66.331,0.048
RBCJ2,66.275,0.059
RBCJ2,66.273,0.053
RBCJ2,66.271,0.046
RBCJ2,66.241,0.077
RBCJ2,66.16,0.26
RBCL,66.76,0.29
RBCL,66.372,0.084
RBCL,66.344,0.073
RBCL,66.327,0.083
RBCL,66.29,0.045
RBCL,66.22,0.12
RBCL,66.21,0.14
RBCL,66.21,0.26
RBCL,66.15,0.2
RBCN,67.13,0.78
RBCN,66.99,0.51
RBCN,66.69,0.12
RBCN,66.32,0.31
RBCN,66.27,0.11
RBCN,66.24,0.13
RBCN,66.15,0.17
RBCQ,66.74,0.27
RBCQ,66.28,0.37
RBCQ,66.28,0.27
RBCQ,66.18,0.2
RBCQ,66.11,0.31
RBCQ,66.06,0.33