Sample ID,Ti,Y,Zr,Nb,In,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,Ti_uncert,Y_uncert,Zr_uncert,Nb_uncert,In_uncert,La_uncert,Ce_uncert,Pr_uncert,Nd_uncert,Sm_uncert,Eu_uncert,Gd_uncert,Tb_uncert,Dy_uncert,Ho_uncert,Er_uncert,Tm_uncert,Yb_uncert,Lu_uncert,Hf_uncert,Ta_uncert,Th_uncert,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_1_1,32.72686866,4826.121262,448083.5372,7.657013766,0,11.23341379,159.858193,4.90737584,22.25557375,24.58550148,11.4389011,44.43193344,28.80343198,146.9717954,79.38655039,343.790131,69.17215986,465.0529378,168.0984094,39339.06875,4.581692187,3805.047745,5.948420623,5.238467054,2.208687189,19.71169054,2.384124441,11.63644341,3.193304228,21.1885329,14.73484593,22.75118049,19.62656527,19.76903305,21.13326677,20.88064702,9.29039043,13.05388644,14.1109562,11.11906923,11.64150436,2.815953646,28.15823152,2.256404096,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_1_2,42.34506991,4725.070514,449106.2864,7.022908683,0,11.03644156,154.7940914,4.821327486,21.86533352,25.37903211,11.05079151,42.71332377,28.01313123,132.1507637,76.08814611,333.6833083,67.57362123,444.0234506,167.6874562,38564.78294,5.76251749,3716.194546,6.884732604,4.595187944,1.100761932,27.28474984,1.280263834,9.300761774,2.529613663,20.99958985,28.27537633,17.28936875,23.46481332,14.20000234,21.14448774,23.54911469,13.70137775,9.833024153,15.10020132,13.26368067,10.11072181,1.920249229,25.36356038,3.598205407,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_1_3,57.48165441,4690.612655,449749.2189,8.749069568,0,10.89938287,149.8104568,4.761452677,21.59379364,21.49172706,11.43015623,39.67599293,26.92786447,136.6243227,76.65113776,320.0160609,65.84765064,457.7342153,171.5412695,37991.13403,5.784095315,3685.495731,4.009550107,3.938272508,1.163395244,8.834816035,1.654317612,14.80516001,3.250946181,14.90640527,23.25205678,24.42193154,25.65933517,14.72553575,31.17578225,25.95439071,13.7901637,12.54808597,11.6999123,11.27794739,10.05793557,2.554076284,13.36972914,2.41982461,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_1_4,26.78282788,4701.071492,449951.7611,5.535322056,0,10.90354408,150.5821565,4.763270524,21.60203781,22.74533918,11.01732037,40.09279983,29.10791827,129.9325222,76.28139101,337.0317234,66.84726683,466.5682298,165.3223538,37788.60671,5.543083975,3660.684416,8.120410349,5.53231233,2.936199045,30.4664218,3.702060331,7.998402509,5.843946259,27.63082435,12.59336729,18.89328419,36.61875144,19.83959138,27.73571898,16.04742044,14.15682999,10.48407123,10.57421139,9.853800943,8.134064983,3.659891832,18.38427783,4.585931686,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_1_5,83.29913169,4473.649168,452593.0826,8.451950884,0,10.32428389,149.542601,4.510217668,20.45441091,23.19529615,10.82709197,42.79316208,27.55002169,128.3061739,69.57390522,306.7868736,59.41741645,417.4234779,156.6658176,35659.77106,4.664900783,3479.009563,6.326330108,3.259724641,1.677620523,12.52934408,1.89977941,9.528558012,4.167122609,15.03490744,19.1794595,19.31763046,21.97701706,19.0894524,27.78673072,16.51906462,18.99649741,12.58926727,12.13535976,11.11792566,13.36040306,1.943003698,22.95856326,2.178834757,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_1_6,101.6502998,4464.570284,452736.3784,7.793651131,0,10.3316254,147.9030426,4.513424843,20.46895586,22.09844574,10.56340644,44.59457776,27.0456562,133.2619788,70.31004536,312.7573732,62.62497898,398.4790643,157.1220566,35555.16745,4.676989814,3455.338555,6.447284027,3.1174043,1.147095074,22.78244359,1.543009956,19.88963342,4.242507524,17.77926652,12.38492857,34.31970391,26.43365542,15.7761275,34.18380033,10.82197115,10.97404449,11.53488758,15.22767943,12.80064357,9.840672644,1.967750354,22.29740144,3.498393177,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_2_1,-307.6459707,4407.545604,454905.4762,12.03126483,0,9.429944294,127.8457724,2.237794382,14.56922648,15.87002931,5.445583246,38.75986484,11.36909398,90.41558958,46.40875411,240.7825551,44.64420306,331.1197584,89.59660002,33467.99988,406.3296808,3378.122582,5.403738947,3.916860494,1.321623269,20.71776554,2.281923837,9.355093194,4.493949087,23.59155059,17.54653942,26.20852523,24.39404383,16.42301455,28.08097727,17.58158264,17.86919097,13.39817757,12.02804141,6.379835252,9.628902552,3.648148767,14.77527434,3.208037214,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_2_2,-312.9684812,4433.314275,454913.555,10.1979048,0,10.49025344,129.5983429,2.247150474,14.41768835,15.84850474,5.183417194,35.14776023,12.18941458,90.58531738,47.5787223,240.9713167,44.18029826,335.6628759,91.39445832,33427.98436,407.5152933,3377.937674,4.745302464,4.869625163,1.589797599,27.38968721,2.327778916,5.574708891,3.063702935,19.59917305,18.92111857,20.2807693,34.76001691,15.63674586,25.85786941,14.33611784,15.57452449,15.40797144,14.31170734,8.223851264,11.38669452,2.483142827,12.22867471,3.169440748,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_2_3,-293.3264312,4178.311281,457922.5676,7.432588749,0,9.058451286,123.0135658,2.112182592,13.19243634,15.76425498,4.910978531,30.78312205,11.27481665,83.54419435,44.50948881,219.7990289,41.85434112,297.8707286,82.51731659,31010.85163,383.039195,3163.592789,7.293399715,2.064836097,2.180704261,23.86183883,2.247292744,10.16150007,3.518196592,8.276164181,19.62862883,19.68813671,31.53276138,21.13088275,23.57813982,25.03113261,14.78177172,11.57855728,13.04182659,8.453612586,9.62972113,3.099822152,17.29766358,4.879158242,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_2_4,-286.88125,4187.197659,458024.0759,12.792048,0,9.438422941,120.4770033,2.113900745,14.01589034,14.2759804,5.091833992,36.32758952,11.25282662,82.48147424,46.89282618,216.6157965,40.7981734,309.6682223,81.96036925,30896.96082,383.3507779,3150.212531,7.326913219,4.856704498,2.000471236,25.12329165,1.932648875,7.044597512,4.068824311,18.89858257,21.24683353,31.76941719,21.5452562,13.31201677,26.16026839,16.15183621,13.63178068,11.09916008,13.45171719,11.34894261,9.917151919,3.813999345,14.53016893,3.026823331,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_2_5,-242.5014878,4192.151476,457811.9008,11.39606441,0,9.830372355,123.0257814,2.109932477,14.04011691,14.92929411,4.707577732,32.21281874,10.41348425,78.65464859,44.84677235,225.9831612,43.59413054,305.6543931,81.93098394,31086.95085,382.6311421,3169.036161,6.808486325,4.819720347,1.992492585,26.87674178,2.073651582,18.34962866,3.234866103,19.29587792,15.87832331,13.13624678,34.86245702,13.38837208,26.08222006,19.94258301,17.17227752,9.493341581,12.75685539,10.1341952,12.16715262,1.648336768,21.08584923,3.623326782,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_2_6,-245.9386536,4128.820938,458398.5639,12.60074334,0,9.120467401,120.2216367,2.086514491,13.0321165,14.32238588,5.075488462,31.83828859,11.50079135,78.45469841,42.76443108,215.2062701,43.65440591,313.2934198,82.1168973,30614.25,378.3843471,3130.692207,5.424341751,3.868658863,1.736428006,26.25904589,2.238229476,12.86246048,3.810680768,24.43076858,16.10629875,24.82710919,35.10157624,10.92685084,26.05826016,14.95500798,14.36413215,13.51574095,16.32681783,9.540814753,10.74531509,2.919515146,22.26624093,3.772656923,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_3_1,185.3158508,4814.38533,455996.7359,20.8452122,0,6.766489432,116.0647104,1.802821924,11.03232673,9.50442846,3.00665532,38.23526386,17.11274734,98.65057058,42.63470088,150.2900516,88.05703896,279.4852546,85.25832273,32237.43069,-21.01936907,3649.72082,96.86746531,2.820700092,1.677231875,22.78500499,1.636426863,11.44395619,7.445452928,19.57099596,20.4374808,28.12776385,31.70176392,19.82093127,23.42977733,13.09530365,9.485360066,9.512925275,17.77109155,13.86977179,12.81201055,2.704358413,31.82554323,4.125142724,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_3_2,-0.590166683,4840.374415,456212.7021,15.17194771,0,6.778237839,116.1098769,1.805952097,10.95669739,9.493069831,3.264630129,40.85586302,17.23557507,95.69045201,41.77205291,157.2874628,85.73409797,288.1323431,85.7880064,31974.64988,-20.30601594,3662.503373,9.831660738,3.962374328,2.320765764,41.34293367,2.409153775,7.335255198,7.104211971,17.34723132,25.64237283,33.34976807,28.84744902,9.443273851,24.92689281,23.09056595,7.837267952,14.9640209,21.64653067,10.16744235,11.48473281,2.874447538,17.66972377,3.234759834,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_3_3,9.012630169,4717.808647,457432.863,16.13467931,0,6.613902678,118.0982369,1.762167645,10.69105746,9.113066071,2.710382589,34.03537326,16.33677712,89.85920327,40.03908399,147.1605313,84.64454295,279.0571623,82.01371551,31041.39658,-19.52209998,3535.183951,8.502903431,3.684955458,1.225627771,17.63969819,1.048579078,12.82929621,5.302023208,25.35173766,22.09915173,17.926229,15.30135489,23.28436507,23.60725953,23.1162564,14.81601617,10.27432275,15.37072967,6.87445289,12.74978239,1.672655265,16.26697637,2.729273105,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_3_4,76.7451954,4723.738502,457558.4069,14.48952686,0,6.611426477,111.4257373,1.761507901,10.6870548,9.653097501,2.435102648,35.00466831,16.38030518,96.96729793,39.82386514,152.6032531,82.27950882,271.0293763,81.0081664,30912.0519,-19.57351395,3539.21632,58.34179038,3.222679841,0.949480452,16.89011302,1.069682356,14.31098204,4.477700072,12.71207272,17.60671951,17.69364698,21.60566387,24.6721211,33.08441449,12.85219289,14.63732853,10.07767286,18.71906277,6.588155073,11.83437429,2.868083191,15.82247242,3.606306424,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_3_5,-189.8346263,4754.380839,456676.1405,17.64882021,0,6.672831066,115.1829734,1.777868163,10.78631238,9.848418996,2.457719019,37.63366133,15.07923588,99.91386368,40.11329066,162.0293339,86.17951735,284.5974378,84.63755751,31679.0398,-18.50324071,3580.383225,-441.5139675,3.295619837,2.262374417,28.4264646,1.968814851,11.89483567,3.985323456,28.54204781,16.38459029,27.52082208,23.09402179,16.70838239,28.07716045,15.32870626,9.329132177,9.049847056,20.40469159,10.90342725,6.254631772,2.283662274,30.61507508,3.547381902,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_3_6,-10.15707613,4782.454687,456781.1014,12.47814618,0,6.71056642,115.7701597,1.787922139,10.84730978,8.157577926,2.703260384,33.62003039,14.84154345,101.3228899,37.76504813,155.8349187,86.39212251,277.1798805,82.45388877,31556.35397,-19.35039366,3597.575033,4.967495596,2.592966384,1.578768011,34.32702981,0.887613493,8.342283185,3.448862116,19.39337289,17.14140451,33.55725262,27.62013702,21.04728454,33.48493274,15.41658991,22.27353951,14.27489857,7.831669158,12.33110274,12.74370887,2.337628703,34.41030898,3.507477317,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_4_1,-70.14150348,687.7441834,480166.53,7.392446941,0,-1.88067114,78.8720281,-0.522852279,-0.368341345,0.113101685,0.774765638,10.76861719,6.207706559,52.81800901,15.26965425,82.29715105,-10.14429453,120.4863853,-15.09326449,16041.6794,-172.0470382,575.102963,4.087727411,6.014387736,5.778642781,21.56125061,5.492032883,57.57369473,17.9760949,26.3317275,30.20762434,37.11886818,36.07845715,19.28772527,27.21172173,14.01882501,9.994141116,14.06116748,14.40527895,9.446365694,11.7039232,4.26078597,10.78239268,4.998836416,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_4_2,-67.38961032,700.7675154,480634.3523,6.159098386,0,4.815049556,104.0844859,-0.552391531,-0.296683451,-0.830404627,0.747340558,13.12662793,7.168024211,57.28611634,16.73142826,86.7474442,-10.76809672,115.848884,-15.7075532,15551.48672,-172.6610041,547.495085,2.684074053,2.139576739,1.941990088,27.70179078,2.77620532,30.74955151,13.25647119,23.96241248,12.2554173,31.39878116,42.03013562,15.66706106,18.67243264,20.27206111,16.83680967,7.446577868,18.12512543,12.62703562,6.158595326,3.698920399,9.024928888,3.864035552,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_4_3,-50.55982689,691.8114408,479900.1285,10.58101639,0,2.09285207,103.2654706,-0.518068763,-0.563636448,-0.159404553,0.442998314,14.315007,8.026215176,54.04025336,17.7738522,73.28546662,-9.387509001,108.7625979,-19.3592191,16295.71978,-173.7105659,569.4529129,3.28481693,7.895154127,7.406911252,29.67477599,7.043949577,83.74821642,32.29061178,22.5707592,23.97485682,26.90787159,46.87503111,26.64397165,30.52447565,18.33206492,15.29352405,8.164129549,12.60008164,10.46252593,9.687381772,5.472827501,7.423163564,5.353196552,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_4_4,-66.69824353,675.0404228,480662.5579,9.759873794,0,2.73110082,99.33076847,-0.600894256,0.374573384,-0.208113464,0.318429912,11.79060763,6.572814181,47.10456575,15.64461365,79.54927192,-10.2755304,119.5035344,-14.52545782,15577.01195,-184.1831483,548.5027441,4.861532764,3.695025535,1.788833357,21.45124462,2.222928327,19.22238919,6.052838503,14.05605654,33.72848982,21.41391701,41.47339593,9.815804114,32.17940966,18.5436731,12.63377969,3.60792149,19.7704961,8.461372576,10.12629583,3.039484177,10.14291192,1.514773796,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_4_5,22.46371469,702.5192065,480797.6571,9.650249145,0,3.974569618,93.44781031,-0.60232141,0.109027703,-0.710678463,0.215221542,12.30448458,6.901738929,53.56863266,16.52375199,73.35225838,-10.61159004,117.7236283,-16.40889377,15434.27809,-187.0281636,539.1358916,6.114780929,1.874228997,0.970082592,31.65466267,1.254924523,19.26161026,7.390884416,28.14095059,20.59431037,21.0118746,33.02606834,22.60980237,19.86933512,16.16315758,7.023451194,10.15875822,14.1292033,6.022369626,9.178691614,1.970445809,11.434377,3.314245943,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_4_6,1.465498257,690.1880085,480580.4035,11.2940786,0,3.091374797,92.46058649,-0.651036547,0.006270916,-0.467760428,0.306489817,12.63411283,6.09818474,59.84225428,18.12603573,83.57626899,-10.42727993,104.9854212,-17.55446902,15625.62605,-165.5433294,552.0052453,4.728769236,2.785279127,1.686888098,26.59603139,2.016835596,17.92316257,5.482781722,41.09210229,15.56730883,22.23342447,60.82189537,13.3538464,28.95207992,24.31729288,9.490721497,13.75148639,15.70336594,13.41380427,11.46798661,3.635345213,15.51659443,3.362216976,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_4_7,-73.57545264,684.5718062,480560.5294,6.386503501,0,-1.849552153,68.5904318,-0.478855589,0.207973638,-0.658697855,0.448086492,11.24302101,7.97077917,60.19193753,15.90958764,73.60253713,-11.14918666,119.3668217,-14.9369706,15652.86522,-113.9833094,527.1724207,3.429708648,3.039146596,1.250303335,38.45759427,1.640282081,8.672364362,2.654715302,21.44587236,23.32848743,27.61698481,47.65912896,16.22498176,27.6816952,25.29102289,5.882166982,9.6580919,18.6198357,12.35621301,6.951542403,2.57783273,20.50419159,2.537139431,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ7_4_8,-51.62936856,682.8573351,480300.3357,6.081529707,0,-1.838833761,73.38416917,-0.68663761,0.27269458,0.653094585,0.330816595,10.80637034,7.545957413,54.14914015,17.1174686,75.54583712,-12.52201075,117.6057335,-16.46735538,15897.54571,-96.57100328,529.8543023,5.738414978,2.779844744,1.527442237,30.22549574,2.484166939,8.926336583,5.825884278,23.86186178,31.37105383,26.89008426,42.66550833,18.55674063,34.37036506,12.20583039,21.32132354,9.374736468,10.49904136,12.37787833,6.698556649,2.80356454,18.33458282,2.930848395,,,,,,,,,,,,,,,,,,,,,,,,,,