Sample,Bootstrapped,Uniform,MELTS,Triangular
RBCT,65.62 +0.147/-0.247,65.531 +0.207/-0.505,65.395 +0.322/-0.996,65.589 +0.165/-0.318
RBCU,65.7662 +0.0577/-0.0702,65.718 +0.0771/-0.115,65.659 +0.112/-0.214,65.7482 +0.0641/-0.0822
RBCV,65.4023 +0.06/-0.0723,65.353 +0.0809/-0.106,65.316 +0.0976/-0.164,65.373 +0.0722/-0.0855
RBCZ,65.911 +0.0982/-0.16,65.871 +0.133/-0.239,65.863 +0.14/-0.281,65.904 +0.105/-0.177
RBCY,65.514 +0.113/-0.163,65.442 +0.157/-0.322,65.359 +0.225/-0.547,65.49 +0.126/-0.207
RBCW,65.697 +0.113/-0.163,65.586 +0.149/-0.211,65.5 +0.189/-0.335,65.65 +0.128/-0.152
RBFS,65.679 +0.236/-0.366,65.542 +0.335/-0.46,65.474 +0.386/-0.569,65.65 +0.257/-0.374
RBFT,65.796 +0.215/-0.347,65.684 +0.288/-0.494,65.659 +0.3/-0.546,65.77 +0.232/-0.339
RBEC,,,,
RBFR,65.809 +0.0942/-0.142,65.794 +0.105/-0.207,65.79 +0.108/-0.229,65.807 +0.094/-0.154
RBEB,66.1431 +0.0327/-0.0465,66.1371 +0.0369/-0.0692,66.1338 +0.04/-0.0845,66.1415 +0.0341/-0.0519
RBFQ,,,,